ชื่ออาหาร,ประเภท,รสชาติ,วัตถุดิบ
 พีบิมบับ,อาหารเกาหลี,เปรี้ยว หวาน,โคชูจัง หมู ข้าวญี่ปุ่น ไข่ กิมจิ ผักโขม เห็ดหอม เห็ดเข็มทอง ถั่วงอก แตงกวา น้ำตาล น้ำส้มสายชู
กุ้งอบวุ้นเส้น,อาหารไทย,หวาน เผ็ด,กุ้ง หมู วุ้นเส้น ต้นหอม ขึ้นช่าย ขิงแก่ กระเทียม รากผักชี ชวงเจีย พริกไทย ซีอิ้วดำ เหล้าจีน
หลนปู,อาหารไทย,หวาน เค็ม เผ็ด,ปูเค็ม หมู น้ำตาล พริก พริกชี้ฟ้า ตะไคร้ กะทิ น้ำมะขาม หอม ใบมะกรูด
หมูโสร่ง,อาหารไทย,หวาน เค็ม มัน,หมู ไข่ น้ำปลา รากผักชี กระเทียม พริกไทย เส้นหมี่ซั่ว น้ำมัน
ไข่ลูกเขย,อาหารไทย,หวาน,ไข่เป็ด เกลือ หอม พริก น้ำตาล น้ำปลา น้ำมะขาม น้ำ ใบผักชี
แกงเทโพ,อาหารไทย,หวาน เผ็ด,ผักบุ้งไทย หมู พริกชี้ฟ้า ใบมะกรูด ลูกมะกรูด พริกแกง หัวกะทิ หางกะทิ น้ำ น้ำปลา น้ำตาล น้ำมะขาม
สะตอผัดกะปิกุ้ง,อาหารไทย,เผ็ด เปรี้ยว,สะตอ กุ้ง กะปิ พริก พริกเหลือง พริกชี้ฟ้า หอม น้ำตาล น้ำปลา
แกงหน่อไม้ใบย่านาง,อาหารไทย,เผ็ด เค็ม ,น้ำใบย่านาง หน่อไม้ พริก น้ำปลาร้า ฟักทอง ชะอม ใบแมงลัก เห็ดฟาง หอม น้ำปลา ผงชูรส ข้าวเบือ
ส้มตำผลไม้,อาหารไทย,เผ็ด เปรี้ยว หวาน,ปะรด แอปเปิ้ลเขียว ฝรั่ง องุ่น กุ้งต้ม กุ้ง เม็ดมะม่วงหิมพานต์ พริก กระเทียมน้ำตาล น้ำปลา
ต้มยำปลาทะเล,อาหารไทย,หวาน เปรี้ยว เผ็ด,ปลา เห็ดฟาง ข่า ตะไคร้ รากผักชี ใบมะกรูด หอม มะเขือเทศ ผักชี ผงปรุงรส น้ำปลา เกลือ น้ำตาล นม พริก พริก น้ำมะนาว
ไก่ทอดซอสนัมบัง,อาหารญี่ปุ่น,หวาน เค็ม มัน,ไก่ ผงกระเทียม เกลือ แป้ง ไข่ น้ำมัน
เกี๊ยวซ่าชีส,อาหารญี่ปุ่น,เค็ม มัน,หมู แป้งเกี๊ยวซ่า กะหล่ำปลี กระเทียม ขิง กุ่ยช่าย โชยุ น้ำตาล พริกไทย แป้งมันฮ่องกง น้ำมันงา ชีสมอสซาเรลลา น้ำมัน 
โรลล์ไส้กรอกซอสมิโสะ,อาหารญี่ปุ่น,มัน หวาน เค็ม,ข้าวญี่ี่ปุ่น สาหร่ายญี่ปุ่น ไส้กรอก เกลือ ไข่ ซอสมิโสะ ต้นหอม
ข้าวหน้าเนื้อไข่ดองซีอิ๊ว,อาหารญี่ปุ่น,หวาน เค็ม มัน,เนื้อวัว ข้าว ไข่ โชยุ มิริน สาเก น้ำตาล หอมใหญ่ ต้นหอมไทย งา
แซลม่อนย่างพริกไทย,อาหารญี่ปุ่น,มัน หวาน,ปลาแซลมอน พริกไทย หอมหัวใหญ่ ซอสพอนสึ ผักวอเตอร์เครส ผักโต้วเหมี่ยว
ข้าวหน้าสเต็กเนื้อ,อาหารญี่ปุ่น,มัน เค็ม,เนื้อสันนอก เกลือ พริกไทย น้ำมัน หัวหอมใหญ่เสี้ยว โชยุ สาเก มิริน น้ำตาล ข้าวญี่ปุ่น ต้นหอม วาซาบิ
โทริมิโสะ ราเมง,อาหารญี่ปุ่น,หวาน มัน เค็ม,บะหมี่กึ่งสำเร็จรูป ไก่ นมถั่วเหลืองจืด ต้นหอมญี่ปุ่น ฟักทอง ต้นหอม สาหร่ายญี่ปุ่น แครอท ข้าวโพด ไข่ พริกไทย มิโสะ เห็ด
คัตสึด้ง,อาหารญี่ปุ่น,หวาน มัน เค็ม,หมูสันคอ เกลือ พริกไทย แป้งอเนกประสงค์ ไข่ เกล็ดขนมปัง น้ำตาล โชยุ มิริน หัวหอมใหญ่ น้ำมันปาล์ม ข้าวญี่ปุ่น ต้อนหอม
ข้าวหมูโชกุน,อาหารญี่ปุ่น,หวาน มัน เค็ม,หมู หอมหัวใหญ่ ซอสปรุงอาหาร น้ำตาล น้ำซุปปลาโอ น้ำมัน ข้าวญี่ปุ่น ต้นหอม
หมูผัดซอสขิง,อาหารญี่ปุ่น,หวาน มัน เค็ม,หมู ขิง มิริน สาเก โชยุ น้ำตาล น้ำมันงา แป้งมันสำปะหลัง น้ำมัน หอมหัวใหญ่ ต้นหอมญี่ปุ่น
ไข่หวาน,อาหารญี่ปุ่น,หวาน, ไข่ น้ำตาล เกลือ น้ำมัน
พิซซ่าญี่ปุ่น,อาหารญี่ปุ่น,หวาน มัน,แป้งเค้ก ไข่ กะหล่ำปลี แครอท น้ำมัน เบคอน ซอสโอโคโนมิยากิ เกลือ พริกไทย มายองเนส ปลาโอ สาหร่าย
ข้าวหน้าหมูปั้นเทอริยากิ,อาหารญี่ปุ่น,หวาน มัน เค็ม,หมู พริกไทย ผงปรุงรส โชยุ มิริน น้ำตาล ขิงขูด ต้นหอมญี่ปุ่น งา ข้าวญี่ปุ่น
สุ้กี้ยากี้,อาหารญี่ปุ่น,หวาน มัน เค็ม,โชยุ มิริน ผักกาด ต้นหอมญี่ปุ่น เห็ดหอมญี่ปุ่น เต้าหู้ หอมหัวใหญ่ แครอท หมู ไข่ สาเก น้ำตาล 
กุ้งเทมปุระ,อาหารญี่ปุ่น,มัน,กุ้งแชบ๊วย แป้งสาลี ไข่ 
เกี๊ยวซ่า,อาหารญี่ปุ่น,มัน เค็ม,หมู กระเทียม หอมใหญ่ กะหล่ำปลี ใบกุยช่าย ต้นหอม ขิง แป้งมัน โชยุ น้ำมันงา น้ำมัน น้ำตาล แป้งเกี๊ยวซ่า
โคโรเกะ,อาหารญี่ปุ่น,หวาน มัน เค็ม,หมู ชีสมอสซาเรลลา แป้ง ไข่ เกล็ดขนมปัง เกลือ พริกไทย ซอสทงคัตสึ กะหล่ำปลี
นาเบะ,อาหารญี่ปุ่น,หวาน เค็ม, สาหร่ายคอมบุ สาหร่ายวากาเมะ ปลาโออบ โชยุ มิริน สาเก
แกงกะหรี่หมู,อาหารญี่ปุ่น,หวาน เค็ม มัน เผ็ด,เครื่องแกงกะหรี่ญี่ปุ่น หมูเต๋า แครอท มันฝรั่ง หอมใหญ่ ไข่ ข้าวญี่ปุ่น
นาน,อาหารอินเดีย,มัน,แป้งอเนกประสงค์ เนย โยเกิร์ตรสธรรมชาติ น้ำตาล ยีสต์ เกลือปั่น
จาปาตี,อาหารอินเดีย,มัน,แป้งสาลี เกลือ เนย
ซาโมซ่าไก่,อาหารอินเดีย,มัน เค็ม,น้ำมัน ไก่ หอมใหญ่ แครอท มันฝรั่ง ผงปรุงรส เกลือ น้ำมันหอย น้ำตาล พริกไทย ผงกะหรี่ แป้งเปาะเปี๊ยะ
ซาโมซ่าแกะ,อาหารอินเดีย,มัน เค็ม,น้ำมัน เนื้อแกะ หอมใหญ่ แครอท มันฝรั่ง ผงปรุงรส เกลือ น้ำมันหอย น้ำตาล พริกไทย ผงกะหรี่ แป้งเปาะเปี๊ยะ
บาเยีย,อาหารอินเดีย,มัน เปรี้ยว หวาน,ถั่วเขียว น้ำมัน แป้งอเนประสงค์ ลูกผักชี ยี่ปร่า ผงกะหรี่ ขมิ้น น้ำตาล เกลือ พริกไทย ผงฟู ต้อนหอม พริก ถั่ว น้ำมะขาม น้ำตาล ซอสพริก พริก
ไก่ย่างทันดูรี,อาหารอินเดีย,เผ็ด, ไก่ น้ำมันมัสตาร์ด เม็ดมัสตาร์ด เกลือ การัมมาซาล่า ลูกผักชี ยี่หร่า พริก ขิง สีผสมอาหาร
ข้าวหมกไก่อินเดีย,อาหารอินเดีย,มัน,ไก่ หัวหอม โยเกิร์ต เนย ผงบิริยานี เปลือกอบเชย พริกอินเดีย เมล็ดมัสตาร์ดดำ ผักชี พริก ข้าวบาสมาติ มะเขือเทศ
บัตเตอร์ชิกเก้น,อาหารอินเดีย,หวาน มัน เค็ม,ไก่ ขิงแก่ พริก กระเทียม หอมใหญ่ เม็ดมะม่วงหิมพาน มะเขือเทศ ครีม โยเกิร์ต การัมมาซาลาผง ผงลูกกระวานดำ ยี่หร่า ลูกผักชี พริกปาปริก้า น้ำตาล เนย น้ำมัน พริกไทย เกลือ ผักชี
ทิกก้า มาซาลา,อาหารอินเดีย,หวาน มัน เค็ม เผ็ด,เม็ดผักชี เม็ดยี่หร่า การัมมาซาลา ขมิ้นผง กระเทียม ขิง พริกชี้ฟ้า น้ำมัน ซอสทิกก้า โยเกิร์ต ไก่ เกลือ เนื้อมะเขือเทศกระป๋อง เนย หอมหัวใหญ่ ครีม พริกปาปริก้า พริกแคชมิริ
แกงกุรุหม่า,อาหารอินเดีย,มัน เค็ม,ไก่ ผักชี เมล็ดเฟนเนล น้ำมันมาสตาร์ด เมล็ดผักชี ยี่หร่า ขมิ้น การัมมาซาลา พริกแคชมิริ โยเกิร์ต มะเขือเทศ หอมแขก เม็ดมะม่วงพิมพานต์ ถั่วอัลมอนด์
ปานีปูรี,อาหารอินเดีย,หวาน มัน เค็ม เปรี้ยว,แป้งซูจี เกลือ แป้งสาลี น้ำเย็น น้ำมัน มันฝรั่งนึ่ง หอม ผงยี่หร่า ผงลูกผักชี พริก น้ำมะขามคั้น น้ำตาล พริก ผักชี น้ำมะนาว น้ำตาล ขิง ใบสะระแหน่ เกลือ พริกจินดา แป้งเบซัน
ก๋วยเตี๋ยวหลอดทรงเครื่อง,อาหารจีน,เผ็ด หวาน มัน เค็ม,ก๋วยเตี๋ยวเส้นใหญ่ หมู เต้าหู้ เห็ดหอม กุ้ง รากผักชี ผงพะโล้ พริกไทย ซีอิ๊วดำ เกลือ น้ำตาล กระเทียม ต้นหอม ถั่วงอก พริก น้ำส้มสายชู ซีอิ๊ว น้ำเชื่อม
กุ้งผัดเม็ดมะม่วงหิมพานต์,อาหารจีน,เผ็ด หวาน มัน เค็ม,กุ้ง แป้งทอดกรอบ กระเทียม เม็ดมะม่วงหิมพานต์อบ พริก หอมหัวใหญ่ พริกสามสี ซีอิ๊ว น้ำตาล น้ำมันงา เหล้าจีน แปะก๊วย แห้ว
ไก่แช่เหล้า,อาหารจีน,หวาน เค็ม มัน,ไก่ น้ำซุปไก่ กระเทียม ขิง โป๊ยกั๊ก อบเชย เหล้าจีน ซีอิ๊ว น้ำตาล เกลือ เหล้าจีน น้ำมันงา พริกไทย
แซนวิชหอยจ๊อกุ้ง,อาหารจีน,หวาน มัน, ไข่ กุ้ง หมูติดมัน รากผักชี กระเทียม พริกไทย น้ำตาล น้ำมันหอย น้ำมันงา ซีอิ๊ว แห้ว แป้งมัน แผ่นฟองเต้าหู้ น้ำมัน
สามชั้นตุ๋นเต้าเจี้ยว,อาหารจีน,หวาน มัน,หมู รากผักชี กระเทียม พริกไทยโขลกหยาบ เต้าเจี้ยว น้ำตาล 
ซาลาเปาทอดช็อกโกแลตลาวา,อาหารจีน,หวาน มัน,แป้งเค้ก ยีสต์ น้ำตาล นมข้นจืด แป้งเชื้อ ผงฟู น้ำตาล เกลือ เนย
ไก่เหล้า,อาหารจีน,หวาน เค็ม,ไก่ เกลือ พริกไทย น้ำตาล รากผักชี กระเทียม แป้งทอดกรอบ ซอสพริก มะเขือเทศ ซีอิ๊วดำ เหล้าจีน น้ำมัน ต้นหอม งา
ขนมผักกาด,อาหารจีน,มัน เค็ม,หัวไชเท้า แป้งข้าวจ้าว แป้งท้าวยายหม่อม กุ้ง เห็ดหอม ถั่วต้ม เกลือ กระเทียม ไข่ ถั่วงอก ใบกุยช่าย พริกไทย ซีอิ๊วดำ ซอสถั่วเหลือง น้ำมันหอย น้ำตาล
ผัดโป๊ยเซียน,อาหารจีน,หวาน เค็ม,กุ้ง แครอท กะหล่ำปลี ต้นหอม เห็ดหูหนูดำ วุ้นเส้น หอมหัวใหญ่ ดอกไม้จีน น้ำปลา น้ำตาล เหล้าจีน น้ำมัน
เป็ดตุ๋นเกาลัด,อาหารจีน,จืด,เป็ด เกาลัด เห็ดหอม แคร์รอต เก๋ากี้ กระเทียม ขิง อบเชย โป๊ยกั๊ก เกลือ ซีอิ๊ว ซีอิ๊วดำ น้ำตาล ยอดผักคะน้า ซุปก้อน น้ำมัน ผักชี
กระเพาะปลา,อาหารจีน,จืด มัน,กระเพาะปลา ไข่ เห็ดหอม อกเป็ด รากบัว แปะก๊วย กระเทียม รากผักชี ผักชี ซีอิ๊ว ซีอิ๊วดำ จิ๊กโฉ่ว น้ำตาล เลือดไก่ ซุปก้อน แป้งมัน
ขาหมูตุ๋นยาจีน,อาหารจีน,หวาน มัน,ขาหมูเยอรมัน เครื่องตุ๋นยาจีน รากผักชีโขลก กระเทียมโขลก พริกไทย แครอท เห็ดหอม เม็ดเก๋ากี้ ซีอิ๊ว ซีอิ๊วดำ น้ำตาล น้ำซุป ผักชี ยอดผักคะน้าฮ่องกง น้ำมัน
ขนมจีบหมู,อาหารจีน,มัน เค็ม,หมู เนื้อกุ้ง กุ้ง แครอท ต้นหอม รากผักชี กระเทียม พริกไทย เกลือ ซีอิ๊ว แผ่นแป้งเกี๊ยว ผักชี กระเทียม จิ๊กโฉ่ว
ไก่ตุ๋นซีอิ๊ว,อาหารจีน,หวาน มัน เค็ม,ไก่ ซีอิ๊ว ซีอิ๊วดำ เหล้าจีน น้ำตาล ข่าแว่น ตะไคร้ รากผักชี ใบมะกรูด กวางตุ้ง เห็ดหอม แครอท
เป็ดพะโล้,อาหารจีน,หวาน,เนื้อเป็ด น้ำตาล ผงพะโล้ ซีอิ๊ว ซีอิ๊วหวาน น้ำมันหอย เหล้าจีน รากผักชี พริกไทย โป๊ยกั๊ก อบเช ข่าแก่ กระเทียม
ข้าวอบจักรพรรดิ,อาหารจีน,เค็ม หวาน,ข้าวกล้อง กุ้ง กุนเชียง แฮม แครอท ถั่วลันเตา เห็ดหอม แปะก๊วย ขิง รากผักชี กระเทียม ผงปรุงรส ซีอิ๊ว ซีอิ๊วดำ พริกไทย น้ำมัน 
บ๊ะจ่าง,อาหารจีน,จืด,ข้าวเหนียวดิบ เห็ดหอม กุ้ง ถั่ว น้ำมัน ซีอิ๊ว ซีอิ๊วดำ น้ำตาล พริกไทย แปะก๊วยเชื่อม ไข่เค็ม กุนเชียง หมูสันใน
เต้าหู้ยัดไส้นึ่งซีอิ๊ว,อาหารจีน,จืด,เต้าหู้ หมู เห็ดหอม ต้นหอม พริกไทย ซีอิ๊ว น้ำตาล ต้นหอมเฉียง พริกชี้ฟ้า น้ำตาล เหล้าจีน น้ำมันงา น้ำซุป พริกไทย
สเต๊กเนื้อ,อาหารฝรั่ง,เค็ม มัน,เนื้อวากิวฮอกไกโด เกลือรมควัน พริกไทย น้ำมัน กระเทียม ไทม์ โรสแมรี่ บราวน์ซอส เนยเซนต์แคลร์ เห็ดทรัฟเฟิลขูด
สปาเก็ตตี้บาร์บีคิว,อาหารอิตาเลียน,เค็ม เปรี้ยว,เส้นสปาเก็ตตี้ ไส้กรอก พริก มะเขือเทศ แครอท หอมหัวใหญ่ ปะรด ซอสบาร์บีคิว น้ำมัน พาร์สลีย์ พริกไทย
ซี่โครงหมูบาร์บีคิวอบชีส,อาหารฝรั่ง,เค็ม มัน หวาน,ซี่โครงหมู ซอสบาร์บิคิว ชีส ออริกาโน่ ใบไทม์ น้ำมัน
มัน,อาหารฝรั่ง,จืด มัน,มันฝรั่ง วิปปิ้งครีม เนย นมข้นจืด เกลือ พริกไทย เกรวี่ พาร์สลีย์
ผักโขมอบชีส,อาหารฝรั่ง,จืด มัน,หัวหอม กระเทียม ผักโขม แป้งสาลีอเนกประสงค์ นมรสจืด เนย เกลือ พริกไทย มอสซาเรลล่าชีส
เฟรนช์ฟรายส์ราดชีส,อาหารฝรั่ง,มัน เค็ม,มันฝรั่ง น้ำมัน เชดดาร์ชีส แป้งข้าวโพด นมข้นจืด
สตูว์เนื้อ,อาหารฝรั่ง,เค็ม,เนื้อวัว มันฝรั่ง มะเขือเทศ แครอท หอมใหญ่ มะเขือเทศ ไวน์ ผงปาปริก้า ใบกระวาน ไทม์ น้ำสต๊อกเนื้อ เกลือ พริกไทย น้ำมัน พาร์สลีย์
ค็อกเทลกุ้ง,อาหารฝรั่ง,เปรี้ยว,กุ้ง กระเทียม เกลือ พริกไทย มะเขือเทศ ซอสพริก ซอสทาบาสโก้ ซอสวูสเตอร์ ปาปริกา เลมอน ผักชีลาว
พ็อทพายไก่ฟักทอง,อาหารฝรั่ง,มัน เค็ม,ไก่ ฟักทอง แครอท ถั่วลันเตา ข้าวโพดต้ม หอมหัวใหญ่ ซุปฟักทอง เกลือ แป้งพัฟฟ์สำเร็จรูป พาร์สลีย์ เนย
หอยแมลงภู่อบซอสไวน์,อาหารฝรั่ง,จืด มัน,หอยแมลงภู่ เนย กระเทียม หอมหัวใหญ่ ใบกระวาน ไทม์ ไวน์ น้ำเลมอน ซอสอัลเฟรโด้ เกลือ พริกไทย พาร์สลีย์
Eggs Benedict,อาหารฝรั่ง,จืด มัน,ไข่ เนยละลาย น้ำมะนาว เกลือ พริกไทย พาร์สลีย์ ไข่ ขนมปังมัฟฟิน เบคอน น้ำส้มสายชู
ออมเลตชีส,อาหารฝรั่ง,จืด, ไข่ นม เกลือ พริกไทย เนย ชีสมอซซาเรลลา ชีสพาเมซาน
มักกะโรนีอบชีสเบคอน,อาหารฝรั่ง,จืด มัน,มักกะโรนี ชีสมอซซาเรลลา เนย เกลือ พริกไทย นม เบคอนกรอบ แครรอต พาร์สลีย์ 
ปลานิลทอดราดพริกสามรส,อาหารไทย,เผ็ด,ปลานิล กระเทียม พริกจินดา พริกชี้ฟ้า ผักชี น้ำมะขาม น้ำปลา น้ำตาล
ต้มยำทะเล,อาหารไทย,หวาน เผ็ด มัน,กุ้ง หมึก หอย เห็ดฟาง ข่า ตะไคร้ หอม ผักชี ใบมะกรูด รากผักชี พริกจินดา พริกสวน น้ำ หัวกะทิ เกลือ น้ำปลา น้ำพริกเผา น้ำมันพริกเผา น้ำมะนาว
ข้าวคลุกกะปิ,อาหารไทย,หวาน มัน,ข้าว กะปิ กระเทียม หมู หอม น้ำตาล ซีอิ๊ว ซีอิ๊วดำ ไข่ม้วน กุนเชียง กุ้งทอด พริก แตงกวา มะม่วงเปรี้ยว หอม ถั่วฝักยาว พริก มะนาว
ปลาร้าทรงเครื่อง,อาหารไทย,หวาน มัน,ปลาดุก กะทิ ตะไคร้ หอม ข่า กระชาย พริก พริกเหลือง พริกเขียว พริกสวน ใบมะกรูด หน่อไม้ต้ม ถั่วฝักยาว มะเขือเปราะ มะขามเปียก น้ำปลาร้าต้ม
ปลาดุกผัดพริกขิง,อาหารไทย,เผ็ด มัน,ปลาดุก พริกแกง ใบมะกรูด พริกชี้ฟ้า น้ำตาล น้ำปลา 
น้ำพริกกะปิ,อาหารไทย,เผ็ด หวาน เค็ม,กะปิ กระเทียม พริก พริกจินดา มะเขือพวง น้ำตาล น้ำมะนาว น้ำปลา
แกงเทโพหมู,อาหารไทย,หวาน มัน,ผักบุ้งไทย หมู ลูกมะกรูด ใบมะกรูด พริกชี้ฟ้า หัวกะทิ หางกะทิ พริกแกง น้ำตาล น้ำมะขาม น้ำปลา
ปลากระพงทอดราดน้ำปลา,อาหารไทย,เค็ม มัน,ปลากระพง น้ำตาล น้ำปลาแท้ น้ำมะนาว มะม่วงเปรี้ยว หอม ขึ้นช่าย พริกจินดา พริก เม็ดมะม่วงหิมพานต์
ลาบหมู,อาหารไทย,เผ็ด เค็ม,หมู หนังหมู ตับหมู หอม ต้นหอม ผักชี ข้าว พริก น้ำปลา น้ำมะนาว 
ปลาทูผัดพริกเกลือ,อาหารไทย,เผ็ด เค็ม มัน,ปลาทู กระเทียม พริกจินดา ต้นหอม เกลือ น้ำตาล ผงปรุงรส
กุ้งทอดเกลือ,อาหารไทย,หวาน เค็ม มัน,กุ้ง กระเทียม เนย เกลือ น้ำตาล พริกไทย
หมูต้มยำ,อาหารไทย,เผ็ด หวาน,หมู ลูกชิ้นหมู น้ำ กระเทียม ถั่ว พริก ต้นหอม ผักชี น้ำปลา น้ำตาล น้ำมะนาว
น้ำพริกปลาทู,อาหารไทย,จืด,ปลาทู กระเทียม หอม พริก น้ำปลาร้า น้ำปลา น้ำมะนาว ผักชี
ไข่ชะอม,อาหารไทย,จืด,ชะอม ไข่ น้ำปลา
ปลากระพงนึ่งซีอิ๊ว,อาหารจีน,หวาน,ปลากระพง ขิง ต้นหอม ขึ้นฉ่าย พริกชี้ฟ้า น้ำมัน ซีอิ๊วดำ ซีอิ๊ว เหล้าจีน น้ำตาล พริกไทย
แกงส้มแป๊ะซะ,อาหารไทย,เผ็ด หวาน,ปลาช่อน ปลานิล พริกแกงส้ม น้ำตาล น้ำตาล เกลือ น้ำปลา น้ำมะขาม ผักกาด ดอกแค ถั่วฝักยาว ไหลบัว ผักกระเฉด
ปลาทับทิมทอดยำตะไคร้,อาหารไทย,เผ็ด เปรี้ยว หวาน มัน เค็ม,ปลาทับทิม แป้งสาลี ตะไคร้ หอม ขิง มะนาว ใบสะระแหน่ เม็ดมะม่วงหิมพานต์ พริกจินดา พริกสวน น้ำมะนาว น้ำปลา น้ำเชื่อม
กุ้งทอดซอสมะขาม,อาหารไทย,หวาน เปรี้ยว เค็ม,กุ้ง แป้งสาลี แป้งทอดกรอบ กระเทียม หอม ผักชี พริก น้ำตาล น้ำมะขาม น้ำปลา 
ซี่โครงหมู,อาหารไทย,มัน เค็ม,ซี่โครงหมู ซอสพริก มะเขือเทศ น้ำผึ้ง น้ำตาล เกลือ ผงพะโล้ โรสแมรี่ ลูกจันทน์ ออริกาโน่ หอมใหญ่ กระเทียม น้ำ
คะน้าหมูกรอบ,อาหารไทย,เผ็ด หวาน มัน เค็ม,คะน้า หมูกรอบ พริกจินดา กระเทียม พริกไทย
กุ้งผัดสะตอ,อาหารไทย,เผ็ด,เม็ดสะตอ กุ้ง ใบมะกรูด พริก กระเทียมหอม กะปิ น้ำตาลแว่น น้ำปลา
เนื้อเค็มต้มกะทิ,อาหารไทย,หวาน มัน,เนื้อแดดเดียว หัวกะทิ เกลือ น้ำตาล น้ำมะขาม หอม พริก ข่าอ่อน ใบมะกรูด
ใบเหลียงผัดไข่,อาหารไทย,จืด,ใบเหลียง กระเทียม ไข่ น้ำมันหอย น้ำปลา ซอสถั่วเหลือง น้ำมัน
หอยผัดพริกเผา,อาหารไทย,เผ็ด หวาน,หอย กระเทียม พริกเผา น้ำตาล ซีอิ๊ว น้ำมันหอย พริก ใบโหระพา
ขนมจีนน้ำยาปลาทู,อาหารไทย,หวาน มัน เค็ม,พริกแกง ปลาทู กระชาย กะทิ น้ำตาล น้ำปลา ลูกชิ้นปลา พริก ถั่วงอก ถั่วฝักยาว
ไก่ผัดกิมจิ,อาหารเกาหลี,เผ็ด เปรี้ยว หวาน,น้ำมัน กระเทียม กิมจิ ไก่ โคชูจัง ซอส ซีอิ๊ว น้ำมันงา ต้นหอม พริก งา
แกงเขียวหวานไก่,อาหารไทย,หวาน มัน,พริกไทย พริก เกลือ ข่า ตะไคร้ ผิวมะกรูด รากผักชี หอม กระเทียมขมิ้น ลูกผักชี ยี่หร่า กะปิ
ปลาหมึกผัดไข่เค็ม,อาหารไทย,เค็ม มัน,กะทิสำเร็จรูป รากผักชี กระเทียม พริกไทย ปลาหมึก ไข่เค็ม หอมใหญ่ ดอกเกลือ น้ำตาล พริกชี้ฟ้าแกง ผักชี
โจ๊กหมู,อาหารจีน,จืด,ข้าวหอมมะลิ ข้าวสาร รากผักชี เกลือ ซีอิ๊ว น้ำตาล ซุปก้อนรสหมู หมู ไข่ ขิง ต้นหอม พริกไทย กระเทียม
เมี่ยงปลาทู,อาหารไทย,เผ็ด เปรี้ยว,ปลาทู ถั่ว มะนาว ขิง พริก หอม กระเทียม ขนมจีน ผักกาด ผักชี ใบชะพลู รากผักชี กระเทียม น้ำมะนาว น้ำปลา น้ำตาล เกลือ ถั่วตัด
น้ำยากะทิปักษ์ใต้,อาหารไทย,เผ็ด มัน,ปลา หางกะทิ หอม ตะไคร้ กระเทียมใบมะกรูด พริก พริกสวน ตะไคร้ กระเทียมหอม ข่า ขมิ้นชัน พริกไทย เกลือ กะปิ ผิวมะกรูด เครื่องแกง หัวกะทิ น้ำปลา น้ำตาล
ซี่โครงหมูทอดพริกแกง,อาหารไทย,เผ็ด มัน เค็ม,ซี่โครงหมู เครื่องแกงเผ็ด ผงปรุงรส น้ำปลา น้ำตาล แป้งทอด ใบมะกรูด น้ำมันปาล์ม
เกี๊ยวกุ้งน้ำ,อาหารจีน,จืด, ซุปก้อน น้ำตาล เกลือ พริกไทย รากผักชี กระเทียมหัวไชเท้า ปลาหมึกย่าง กระดูกหมู กุ้ง หมู พริกไทย ซีอิ๊ว น้ำตาล น้ำมันงา ไข่ ต้นหอม
ทอดมันกุ้ง,อาหารไทย,จืด มัน,รากผักชี กระเทียม พริกไทย กุ้ง หมู เป้งมัน ไข่ น้ำตาล น้ำปลา ซีอิ๊ว น้ำมัน เกล็ดขนมปัง น้ำจิ้มบ๊วย
แกงกะทิสายบัวปลาทู,อาหารไทย,หวาน มัน,สายบัว ปลาทู น้ำตาล หัวกะทิ น้ำสะอาด น้ำปลา กะปิ หอมไทย พริกไทย พริกสวน น้ำมะขาม
ฉู่ฉี่ปลาทู,อาหารไทย,เผ็ด หวาน มัน เค็ม,ปลาทู พริกแกง น้ำปลา น้ำตาล กะทิ พริก ใบมะกรูด
ปลาหมึกผัดกะปิ,อาหารไทย,เผ็ด มัน เค็ม หวาน,หมึกกล้วย กะปิ ใบมะกรูด พริก หอม น้ำตาล มะนาว ต้นหอม น้ำมัน
มัสมั่นเนื้อ,อาหารไทย,มัน เค็ม หวาน,เนื้อวัว หางกะทิ เกลือ พริกแกงมัสมั่น ลูกกระวาน มันเทศ หอมใหญ่ ถั่ว หัวกะทิ หางกะทิ น้ำมะขาม น้ำตาล น้ำปลา เกลือ
